ID,Area,Feature,User Story,Expected Behavior,Source Evidence,Implementation Status,Test Status,Last Tested,Errors Found,Fix Status,Retest Status,Notes
FEAT-023,Results,Pagination,"As a job seeker, I want long result sets paginated so the page stays usable.","20 jobs per page, top and bottom pagination, disabled prev/next at bounds, page buttons with ellipses, and page changes scroll results into view respecting reduced motion.",src/components/job-board.tsx; src/components/job-board/pagination-controls.tsx; src/app/job-board-pagination.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Browser audits verify next/direct-page navigation, synchronized controls, boundary disabling, ellipses, summaries, and reduced-motion scroll-to-results behavior."
FEAT-024,Results,Empty state reset,"As a user, I want a clear empty state when filters return no jobs so I can recover quickly.","When no jobs match, panel shows No matching roles, guidance, and Reset filters button.",src/components/job-board/results-panel.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Empty state offers recovery through reset filters.
FEAT-025,Job card,Core listing details,"As a job seeker, I want each card to show source, posted date, title, company, workplace, summary, location, age, role family, seniority, and employment type.",Each job card renders those fields from Job and formats posted date/freshness labels.,src/components/job-board/job-card.tsx; src/lib/jobs.ts; src/types/job.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Job card renders core listing details.
FEAT-026,Job card,Salary pill highlight,"As a job seeker, I want visible salary ranges highlighted when available.",Jobs with salary render a DollarSign salary pill with accessible Salary label; jobs without salary omit the row.,src/components/job-board/job-card.tsx; src/app/job-board.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Salary pill renders accessible salary label.
FEAT-027,Job card,Expandable long descriptions,"As a job seeker, I want useful full descriptions expandable under a card without duplicating the summary.",Description details render only when additional description is materially longer than summary; paragraphs split on line breaks.,src/components/job-board/job-card.tsx; src/lib/jobs.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: Expandable descriptions open.
FEAT-028,Job card,Match reasons,"As a job seeker, I want match reasons so I can see why a role belongs on this niche board.",Cards display up to three match reasons with check icons.,src/components/job-board/job-card.tsx; scripts/job-refresh/shared.ts,Implemented from code,Passed,2026-07-11,,Fixed: display fallback added; normalizer fallback added,Passed after fix,Initial audit found 99 active jobs with empty stored matchReasons. Frontend now derives display reasons for existing feed rows; future refreshes emit broader reasons. Data audit: Match reasons render on job cards.
FEAT-029,Job card,Platform/tool tags,"As a job seeker, I want quick tags for matched tools and platforms so I can scan stack fit.",Cards show up to eight combined platform/tool tags.,src/components/job-board/job-card.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Platform and tool tags render on job cards.
FEAT-030,Job card,Apply action and source attribution,"As a job seeker, I want an Apply link for real jobs and clear attribution for provider terms.","Cards show attribution label; applyUrl opens in a new tab with noopener noreferrer, otherwise Seed listing disabled state appears.",src/components/job-board/job-card.tsx; src/types/job.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: Apply links open externally with safe rel.
FEAT-031,Navigation,Feedback and repo links,"As a user, I want to report issues or open the repository from the page.","Topbar exposes a safe external feedback action; footer shows Made by Jorgeasaurus, refresh timestamp, Report / request GitHub issue link, and GitHub repo link.",src/components/job-board/topbar.tsx; .github/ISSUE_TEMPLATE/report-or-request.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Browser audit verifies visible topbar feedback plus footer attribution and safe GitHub links."
FEAT-032,Visual design,Parallax background,"As a visitor, I want the dark lime visual style to feel polished without blocking interaction.",Parallax background renders an aria-hidden atmosphere plus a Three.js endpoint signal canvas behind content when motion is allowed.,src/components/job-board/parallax-background.tsx; src/components/job-board/signal-field.ts; src/app/parallax-background.css; src/app/globals.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: Parallax background atmosphere and signal canvas render behind the site content
FEAT-033,Visual design,Animated count text,"As a visitor, I want count changes to feel responsive without hurting screen reader output.",SlotText animates visible numbers and is aria-hidden while nearby text provides accessible context.,src/components/job-board/animated-number.tsx; src/components/job-board/controls.tsx; src/components/job-board/results-panel.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: Animated count numbers render numeric text in hero and results
FEAT-034,Responsive UX,Mobile layout,"As a mobile user, I want search, filters, and results to fit narrow screens without horizontal overflow.","Responsive CSS stacks controls, collapses advanced filters, preserves tap targets, and keeps cards within viewport.",src/app/job-board-responsive.css; src/app/job-board-location.css; src/app/job-board-filters.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: Mobile viewport has no horizontal document overflow after opening filters
FEAT-035,Accessibility,Toggle button semantics,"As an assistive technology user, I want toggle filters to expose pressed state.",Reusable ToggleButton emits literal aria-pressed true/false and type button.,src/components/job-board/toggle-button.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Toggle buttons emit explicit pressed state.
FEAT-036,Data feed,Static JSON feed contract,"As a site visitor, I want fast static listings without runtime API failures.",Page imports typed JobsFeed from src/data/jobs.json during build; no client fetch is required.,src/app/page.tsx; src/types/job.ts; src/data/jobs.json,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Static JSON feed builds without runtime fetching.
FEAT-037,Data refresh,Daily/manual GitHub Action,"As the site owner, I want listings refreshed automatically and manually so the board stays current.","Workflow runs daily at 11:17 UTC and on workflow_dispatch, installs dependencies, refreshes jobs, builds, commits changed jobs JSON, rebases, and pushes.",.github/workflows/refresh-jobs.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Refresh workflow runs on schedule and manual dispatch.
FEAT-038,Data refresh,Configurable provider list,"As the site owner, I want to choose providers by env var so source coverage can change without code edits.","JOB_PROVIDERS/JOB_PROVIDER choose adapters, de-duped and validated against supported providers; provider URL overrides are supported.",scripts/refresh-jobs.ts; README.md,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Provider list and URL overrides are configurable.
FEAT-039,Data sources,Public job-board providers,"As the site owner, I want broad public job-board coverage.","Remotive, Arbeitnow, Jobicy, Remote OK, The Muse, and Adzuna adapters normalize public-board responses into endpoint candidates.",scripts/job-refresh/providers/public-job-boards.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Public job-board providers are wired.
FEAT-040,Data sources,ATS board providers,"As the site owner, I want direct company ATS coverage for stable employer feeds.","Greenhouse, Lever, Ashby, and Workable adapters scan configured boards/accounts and normalize job details.",scripts/job-refresh/providers/ats-boards.ts; .github/workflows/refresh-jobs.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Direct ATS board providers are wired.
FEAT-041,Data sources,Company ATS providers,"As the site owner, I want targeted coverage for employers visible in LinkedIn examples without scraping LinkedIn.","Amazon Jobs, Workday, Jibe, and Activate adapters search configured company endpoints and queries.",scripts/job-refresh/providers/company-ats.ts; .github/workflows/refresh-jobs.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Targeted company ATS providers are wired.
FEAT-042,Data sources,Optional API providers,"As the site owner, I want optional paid/API aggregators to increase coverage when keys are available.","Techmap RSS, TheirStack, SerpAPI, RapidAPI Daily Jobs, RapidAPI LinkedIn, and AI Dev Board are wired behind env vars/secrets and skipped on provider errors without killing successful providers.",scripts/job-refresh/providers/techmap-rss.ts; scripts/job-refresh/providers/theirstack.ts; scripts/job-refresh/providers/serpapi.ts; scripts/job-refresh/providers/rapidapi-daily-jobs.ts; scripts/job-refresh/providers/rapidapi-linkedin.ts; scripts/job-refresh/providers/aidevboard.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Optional API providers are key-gated and non-fatal.
FEAT-043,Data sources,Curated job provider,"As the site owner, I want hand-reviewed listings included even if broad providers miss them.","Curated Jobs normalizes reviewed listings and reserves feed slots; availability checks drop 404/410 pages, unavailable text, or missing identity text while retaining jobs when transient checks are inconclusive.",scripts/job-refresh/providers/curated-jobs.ts; scripts/refresh-jobs.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit verifies reservation wiring plus available, unavailable-text, and missing-required-text classification."
FEAT-044,Normalization,Endpoint relevance filter,"As a visitor, I want unrelated generic IT/software jobs excluded.","Normalizer requires endpoint/client-platform/tool signals and rejects entry support, frontline support, app-security, and software product false positives without matching title evidence.",scripts/job-refresh/shared.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Normalizer accepts endpoint roles and rejects generic software roles.
FEAT-045,Normalization,Tool/platform inference,"As a visitor, I want listings tagged by practical endpoint platforms and tools.","Normalizer derives tools from aliases, derives platforms from aliases or defaults to Windows/macOS, and creates tags/match reasons.",scripts/job-refresh/shared.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit: Normalizer derives tools, platforms, tags, and match reasons."
FEAT-046,Normalization,Role/workplace/seniority/employment inference,"As a visitor, I want consistent filters even when providers use different fields.","Normalizer infers workplace, role family, seniority, and employment type from normalized job text when provider fields are absent.",scripts/job-refresh/shared.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit: Normalizer infers workplace, role family, seniority, and employment type."
FEAT-047,Normalization,Salary extraction,"As a job seeker, I want salary ranges surfaced even when only descriptions include pay data.",Refresh preserves structured salary and extracts USD annual salary ranges from summary/description text when missing.,scripts/refresh-jobs.ts; scripts/job-refresh/shared.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Salary ranges are preserved or extracted from descriptions.
FEAT-048,Normalization,Description cleanup,"As a job seeker, I want descriptions readable and not duplicated as summaries.","HTML is stripped, line breaks preserved, short descriptions omitted, long descriptions capped, and summary prefixes are removed before expansion.",scripts/job-refresh/shared.ts; src/lib/jobs.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit: Descriptions are cleaned, capped, and not duplicated as summaries."
FEAT-049,Normalization,Dedupe and stable IDs,"As a visitor, I want duplicate listings collapsed and React keys stable.",Jobs dedupe by normalized title/company/location or source URL; generated IDs include source/account/title plus source URL hash.,scripts/refresh-jobs.ts; scripts/job-refresh/shared.ts; src/components/job-board/results-panel.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Dedupe and stable IDs use source URLs and React job IDs.
FEAT-050,Normalization,Stale filtering and result cap,"As a visitor, I want the feed to avoid expired listings and stay scannable.",Refresh removes jobs stale before fetchedAt and limits output by JOB_MAX_RESULTS while reserving curated slots.,scripts/refresh-jobs.ts; src/components/job-board.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Stale filtering and result cap are enforced.
FEAT-051,SEO,"Metadata, Open Graph, and Twitter cards","As the site owner, I want shared links and search snippets to describe the niche board.","Layout exports canonical metadata, keywords, Open Graph, Twitter summary image, author, creator, publisher, and stable listing anchors.",src/app/layout.tsx; src/app/site-metadata.ts; src/components/job-board/topbar.tsx; src/components/job-board/job-card.tsx; public/og-image.png,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit verifies metadata fields, social image, removed specialty metadata and footer navigation, and stable job anchors."
FEAT-052,SEO,JSON-LD structured data,"As the site owner, I want search engines to understand the job collection page.","Home emits escaped JSON-LD for WebSite/SearchAction, Organization, CollectionPage with up to 20 current listings, WebApplication, and BreadcrumbList; listing sameAs uses apply URL or source URL.",src/app/page.tsx; src/app/structured-data.ts; src/app/site-metadata.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit verifies graph types, 20-item cap, total count semantics, listing anchors, sameAs fallback, removed popular links, and escaped script content."
FEAT-053,SEO,Sitemap and robots,"As a crawler, I need sitemap and robots endpoints that point to the canonical site.","Sitemap returns siteUrl with feed.updatedAt, daily frequency, priority, and social image; robots allows all plus Googlebot and references canonical sitemap and host.",src/app/sitemap.ts; src/app/robots.ts; src/app/site-metadata.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit verifies sitemap dates/images and robots wildcard, Googlebot, sitemap, and host rules."
FEAT-054,Analytics,Vercel Analytics,"As the site owner, I want basic page analytics without adding app code to each page.",Root layout includes Vercel Analytics component globally.,src/app/layout.tsx; package.json,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: Vercel Analytics is installed globally.
FEAT-055,Quality,React Doctor CI,"As the maintainer, I want PRs scanned for React quality regressions.","React Doctor GitHub Action scans pull requests and main pushes, comments/statuses advisory findings, and cancels superseded runs.",.github/workflows/react-doctor.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: React Doctor CI is configured for PRs and main.
FEAT-056,Community,GitHub issue template,"As a user, I want a guided issue form for missing jobs, stale listings, bugs, and feature requests.","Issue template requires request type, summary, details, and optional reproduction, device, screenshots, and job examples.",.github/ISSUE_TEMPLATE/report-or-request.yml; .github/ISSUE_TEMPLATE/config.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: GitHub issue template captures support and feature reports.
FEAT-057,Map,Optional expandable job map,"As a job seeker, I want the heavy job map hidden until I ask for it so listing search stays fast.","Job geography shows the mapped count and a Show map button by default; clicking expands MapLibre, mounts the canvas, and toggles to Hide map.",src/components/job-board/job-map.tsx; src/app/job-board-map.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: map is collapsed by default and expands on request
FEAT-058,Data sources,Expanded direct ATS sources,"As the site owner, I want verified Greenhouse and Workday employers included so endpoint roles come from direct career sources.","Default and scheduled source lists include SpaceX, GitLab, Coinbase, Canonical, Pinterest, Block, and Roblox Greenhouse boards plus Booz Allen, HP, NVIDIA, Adobe, F5, Allstate, Gartner, Nordic Consulting, SHI, Circle, and Jabil Workday sites; README documents representative sources.",scripts/job-refresh/providers/ats-boards.ts; scripts/job-refresh/providers/company-ats.ts; .github/workflows/refresh-jobs.yml; README.md,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit verifies every named direct source in defaults and scheduled configuration plus README coverage."
FEAT-059,Data quality,Confirmed-dead source URL exclusions,"As a visitor, I do not want confirmed unavailable source postings to appear on the page.",Built-in exclusions and JOB_EXCLUDED_SOURCE_URLS remove confirmed-dead source URLs during refresh and from runtime active jobs; the reported Adzuna URL is absent from the feed.,src/lib/job-exclusions.ts; scripts/refresh-jobs.ts; src/lib/jobs.ts; src/components/job-board.tsx; src/app/page.tsx; .github/workflows/refresh-jobs.yml,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data audit: dead Adzuna URL is absent, exact/normalized URL exclusion works, refresh filters it, and runtime active jobs reject it."
FEAT-060,Data quality,Adzuna freshness cap,"As a visitor, I do not want stale Adzuna aggregator results kept by broad source stale windows.",Adzuna jobs older than 7 days by fetchedAt or 30 days by postedAt are not active; JSON-LD and job board receive the filtered active feed.,src/lib/job-exclusions.ts; src/lib/jobs.ts; scripts/refresh-jobs.ts; src/app/page.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: synthetic old-fetched and old-posted Adzuna jobs are inactive while a fresh synthetic Adzuna job remains active.
FEAT-061,Map,Mapped job count and ratio,"As a job seeker, I want to know how many active jobs have usable map locations before opening the map.",Job geography computes map points from active jobs and shows mapped jobs plus a mapped-of-total count pill.,src/components/job-board/job-map.tsx; src/lib/job-map.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: mapped count and count pill are sourced from built job map points.
FEAT-062,Map,Per-job map points,"As a job seeker, I want each mapped job represented as its own point so jobs in the same market do not collapse into one listing.","Map point generation skips jobs without coordinates while preserving one point per mapped job, including jobs that share identical coordinates.",src/lib/job-map.ts; src/components/job-board/job-map-features.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: per-job map point generation preserves duplicate-coordinate jobs and skips unmapped jobs.
FEAT-063,Map,Zoom and fit controls,"As a map user, I want zoom controls and a fit-to-jobs action so I can inspect dense job clusters clearly.","Expanded maps show zoom in, zoom out, fit-to-jobs controls, and a zoom percentage readout; zoom actions update the readout and respect configured min/max bounds.",src/components/job-board/job-map-canvas.tsx; src/components/job-board/job-map-config.ts; src/app/job-board-map.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Browser audit: map zoom controls render and zooming updates the readout.
FEAT-064,Map,Job detail popups,"As a job seeker, I want map points to reveal job title, company, salary, and apply link so the map is actionable.","Point and cluster popups are built from GeoJSON feature properties and render title, company, salary label or fallback, and safe external apply links.",src/components/job-board/job-map-canvas.tsx; src/components/job-board/job-map-features.ts; src/components/job-board/job-map-popup.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: popup feature data and rendered popup markup include title, company, salary, and safe apply links.
FEAT-065,Map,Mobile map detail sheet,"As a mobile user, I want selected map jobs shown in an in-bounds sheet instead of an off-screen hover popup.","Mobile CSS hides the MapLibre popup, renders a bottom sheet with selected job details, and provides a Close selected job button.",src/components/job-board/job-map-canvas.tsx; src/components/job-board/job-map-popup.tsx; src/app/job-board-map.css,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: mobile sheet and close affordance are wired and mobile CSS hides desktop popups.
FEAT-066,Map,Visual integration and attribution,"As a visitor, I want the map to match the page style while still attributing map data sources.","Map section uses the page lime/emerald palette, 8px rounded framing, dark raster tiles, and visible OpenStreetMap/CARTO attribution links.",src/app/job-board-map.css; src/components/job-board/job-map-config.ts; src/components/job-board/job-map-canvas.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: map palette, rounded framing, dark raster style, and attribution links are present.
FEAT-067,Data refresh,Provider adapter contract,"As the maintainer, I want every job source adapter to share one fetch contract so refresh orchestration can treat sources consistently.","ProviderAdapter defines id, displayName, defaultUrl, optional reserved slots, and fetchJobs context; refresh orchestrates adapters through that contract.",scripts/job-refresh/provider.ts; scripts/refresh-jobs.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: provider adapter contract and refresh orchestration are present.
FEAT-068,Data refresh,Endpoint search query defaults,"As the site owner, I want source searches seeded with endpoint-focused titles and monitored companies so refreshes look for the right jobs by default.","Default search config includes endpoint/client-platform role queries, monitored endpoint/security companies, and company-specific endpoint query expansion.",scripts/job-refresh/search-config.ts; scripts/job-refresh/providers/public-job-boards.ts; scripts/job-refresh/providers/company-ats.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: endpoint search query defaults and monitored company expansion are present.
FEAT-069,Map,Location coordinate resolver,"As a job seeker, I want recognizable job locations mapped to real coordinates while broad multi-location rows stay off the map.","Refresh map-location resolver maps known cities, regions, countries, and US remote labels to coordinates and skips ambiguous N locations values.",scripts/job-refresh/map-location.ts; scripts/job-refresh/shared.ts; src/lib/job-map.ts,Implemented from code,Passed,2026-07-11,,None needed,Passed,Data audit: resolver maps known locations and skips ambiguous multi-location rows.
FEAT-070,Job comparison,Side-by-side role comparison,"As a job seeker, I want to compare shortlisted roles so I can evaluate tradeoffs without switching between cards.","Users can select 2-4 roles and compare employer, salary, location, workplace, seniority, tools, freshness, and apply links in a responsive table; one-role prompts can clear selection and the shortlist persists while result filters change.",src/components/job-board/job-comparison.tsx; src/components/job-board/job-card.tsx; src/components/job-board.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data and browser audits verify requested fields, prompt recovery, filter persistence, four-role cap, keyboard access, and mobile internal scrolling without document overflow."
FEAT-071,Navigation,Removed popular specialty searches,"As a visitor, I do not want broken specialty links in the footer.","Footer, site metadata, and JSON-LD omit the removed popular-search links while retaining project navigation.",src/components/job-board/topbar.tsx; src/app/site-metadata.ts; src/app/structured-data.ts,Implemented from code,Passed,2026-07-15,,None needed,Passed,"Browser audit verifies footer absence; FEAT-051 and FEAT-052 data audits verify metadata and structured-data removal."
FEAT-072,Search coverage,Current-view metrics,"As a job seeker, I want the coverage dashboard to update with my filters so I can judge the size and quality of the current result set.","Dashboard keeps the total tracked-role count stable while current-view, mapped, remote-or-hybrid, and salary counts and meter widths recompute from visible filtered jobs; zero-result percentages are zero.",src/components/job-board.tsx; src/components/job-board/controls.tsx,Implemented from code,Passed,2026-07-11,,None needed,Passed,"Data and browser audits verify percentage math and live metric updates after filtering."
